userid,movieId,title,rating,genres
43,110,Braveheart (1995),4.5,Action|Drama|War
43,2959,Fight Club (1999),5,Action|Crime|Drama|Thriller
43,356,Forrest Gump (1994),5,Comedy|Drama|Romance|War
43,527,Schindler's List (1993),3.5,Drama|War
43,260,Star Wars: Episode IV - A New Hope (1977),4.5,Action|Adventure|Sci-Fi
43,1,Toy Story (1995),4,Adventure|Animation|Children|Comedy|Fantasy
43,1307,When Harry Met Sally... (1989),4,Comedy|Romance
120,110,Braveheart (1995),5,Action|Drama|War
120,2959,Fight Club (1999),5,Action|Crime|Drama|Thriller
120,356,Forrest Gump (1994),5,Comedy|Drama|Romance|War
120,527,Schindler's List (1993),5,Drama|War
120,260,Star Wars: Episode IV - A New Hope (1977),5,Action|Adventure|Sci-Fi
120,1,Toy Story (1995),5,Adventure|Animation|Children|Comedy|Fantasy
120,1307,When Harry Met Sally... (1989),5,Comedy|Romance
171,110,Braveheart (1995),4.5,Action|Drama|War
171,2959,Fight Club (1999),4.5,Action|Crime|Drama|Thriller
171,356,Forrest Gump (1994),4.5,Comedy|Drama|Romance|War
171,527,Schindler's List (1993),4,Drama|War
171,260,Star Wars: Episode IV - A New Hope (1977),4.5,Action|Adventure|Sci-Fi
171,1,Toy Story (1995),4.5,Adventure|Animation|Children|Comedy|Fantasy
171,1307,When Harry Met Sally... (1989),4,Comedy|Romance
426,110,Braveheart (1995),4.5,Action|Drama|War
426,2959,Fight Club (1999),5,Action|Crime|Drama|Thriller
426,356,Forrest Gump (1994),4,Comedy|Drama|Romance|War
426,527,Schindler's List (1993),4.5,Drama|War
426,260,Star Wars: Episode IV - A New Hope (1977),4.5,Action|Adventure|Sci-Fi
426,1,Toy Story (1995),2.5,Adventure|Animation|Children|Comedy|Fantasy
426,1307,When Harry Met Sally... (1989),3.5,Comedy|Romance
431,110,Braveheart (1995),4.5,Action|Drama|War
431,2959,Fight Club (1999),5,Action|Crime|Drama|Thriller
431,356,Forrest Gump (1994),3.5,Comedy|Drama|Romance|War
431,527,Schindler's List (1993),1.5,Drama|War
431,260,Star Wars: Episode IV - A New Hope (1977),4,Action|Adventure|Sci-Fi
431,1,Toy Story (1995),3,Adventure|Animation|Children|Comedy|Fantasy
431,1307,When Harry Met Sally... (1989),1.5,Comedy|Romance
440,110,Braveheart (1995),4,Action|Drama|War
440,2959,Fight Club (1999),5,Action|Crime|Drama|Thriller
440,356,Forrest Gump (1994),4.5,Comedy|Drama|Romance|War
440,527,Schindler's List (1993),4,Drama|War
440,260,Star Wars: Episode IV - A New Hope (1977),5,Action|Adventure|Sci-Fi
440,1,Toy Story (1995),3.5,Adventure|Animation|Children|Comedy|Fantasy
440,1307,When Harry Met Sally... (1989),4.5,Comedy|Romance
462,110,Braveheart (1995),5,Action|Drama|War
462,2959,Fight Club (1999),4.5,Action|Crime|Drama|Thriller
462,356,Forrest Gump (1994),4,Comedy|Drama|Romance|War
462,527,Schindler's List (1993),3.5,Drama|War
462,260,Star Wars: Episode IV - A New Hope (1977),3.5,Action|Adventure|Sci-Fi
462,1,Toy Story (1995),3.5,Adventure|Animation|Children|Comedy|Fantasy
462,1307,When Harry Met Sally... (1989),4.5,Comedy|Romance
519,110,Braveheart (1995),4.5,Action|Drama|War
519,2959,Fight Club (1999),3,Action|Crime|Drama|Thriller
519,356,Forrest Gump (1994),4,Comedy|Drama|Romance|War
519,527,Schindler's List (1993),3.5,Drama|War
519,260,Star Wars: Episode IV - A New Hope (1977),3.5,Action|Adventure|Sci-Fi
519,1,Toy Story (1995),4.5,Adventure|Animation|Children|Comedy|Fantasy
519,1307,When Harry Met Sally... (1989),3,Comedy|Romance
607,110,Braveheart (1995),3,Action|Drama|War
607,2959,Fight Club (1999),4,Action|Crime|Drama|Thriller
607,356,Forrest Gump (1994),4,Comedy|Drama|Romance|War
607,527,Schindler's List (1993),3.5,Drama|War
607,260,Star Wars: Episode IV - A New Hope (1977),4,Action|Adventure|Sci-Fi
607,1,Toy Story (1995),4.5,Adventure|Animation|Children|Comedy|Fantasy
607,1307,When Harry Met Sally... (1989),3.5,Comedy|Romance
707,110,Braveheart (1995),5,Action|Drama|War
707,2959,Fight Club (1999),4,Action|Crime|Drama|Thriller
707,356,Forrest Gump (1994),4,Comedy|Drama|Romance|War
707,527,Schindler's List (1993),5,Drama|War
707,260,Star Wars: Episode IV - A New Hope (1977),4,Action|Adventure|Sci-Fi
707,1,Toy Story (1995),3,Adventure|Animation|Children|Comedy|Fantasy
707,1307,When Harry Met Sally... (1989),3,Comedy|Romance
757,110,Braveheart (1995),4,Action|Drama|War
757,2959,Fight Club (1999),4,Action|Crime|Drama|Thriller
757,356,Forrest Gump (1994),3.5,Comedy|Drama|Romance|War
757,527,Schindler's List (1993),3,Drama|War
757,260,Star Wars: Episode IV - A New Hope (1977),4,Action|Adventure|Sci-Fi
757,1,Toy Story (1995),3,Adventure|Animation|Children|Comedy|Fantasy
757,1307,When Harry Met Sally... (1989),2.5,Comedy|Romance
847,110,Braveheart (1995),4,Action|Drama|War
847,2959,Fight Club (1999),5,Action|Crime|Drama|Thriller
847,356,Forrest Gump (1994),3,Comedy|Drama|Romance|War
847,527,Schindler's List (1993),4,Drama|War
847,260,Star Wars: Episode IV - A New Hope (1977),3.5,Action|Adventure|Sci-Fi
847,1,Toy Story (1995),4,Adventure|Animation|Children|Comedy|Fantasy
847,1307,When Harry Met Sally... (1989),2.5,Comedy|Romance
858,110,Braveheart (1995),4,Action|Drama|War
858,2959,Fight Club (1999),3.5,Action|Crime|Drama|Thriller
858,356,Forrest Gump (1994),4,Comedy|Drama|Romance|War
858,527,Schindler's List (1993),4.5,Drama|War
858,260,Star Wars: Episode IV - A New Hope (1977),3.5,Action|Adventure|Sci-Fi
858,1,Toy Story (1995),4,Adventure|Animation|Children|Comedy|Fantasy
858,1307,When Harry Met Sally... (1989),3,Comedy|Romance
875,110,Braveheart (1995),5,Action|Drama|War
875,2959,Fight Club (1999),5,Action|Crime|Drama|Thriller
875,356,Forrest Gump (1994),5,Comedy|Drama|Romance|War
875,527,Schindler's List (1993),5,Drama|War
875,260,Star Wars: Episode IV - A New Hope (1977),5,Action|Adventure|Sci-Fi
875,1,Toy Story (1995),3,Adventure|Animation|Children|Comedy|Fantasy
875,1307,When Harry Met Sally... (1989),5,Comedy|Romance
896,110,Braveheart (1995),4,Action|Drama|War
896,2959,Fight Club (1999),4.5,Action|Crime|Drama|Thriller
896,356,Forrest Gump (1994),3.5,Comedy|Drama|Romance|War
896,527,Schindler's List (1993),4,Drama|War
896,260,Star Wars: Episode IV - A New Hope (1977),4,Action|Adventure|Sci-Fi
896,1,Toy Story (1995),4.5,Adventure|Animation|Children|Comedy|Fantasy
896,1307,When Harry Met Sally... (1989),4.5,Comedy|Romance
919,110,Braveheart (1995),2.5,Action|Drama|War
919,2959,Fight Club (1999),5,Action|Crime|Drama|Thriller
919,356,Forrest Gump (1994),4,Comedy|Drama|Romance|War
919,527,Schindler's List (1993),3,Drama|War
919,260,Star Wars: Episode IV - A New Hope (1977),5,Action|Adventure|Sci-Fi
919,1,Toy Story (1995),4,Adventure|Animation|Children|Comedy|Fantasy
919,1307,When Harry Met Sally... (1989),4,Comedy|Romance
939,110,Braveheart (1995),4.5,Action|Drama|War
939,2959,Fight Club (1999),4.5,Action|Crime|Drama|Thriller
939,356,Forrest Gump (1994),3,Comedy|Drama|Romance|War
939,527,Schindler's List (1993),5,Drama|War
939,260,Star Wars: Episode IV - A New Hope (1977),4,Action|Adventure|Sci-Fi
939,1,Toy Story (1995),4,Adventure|Animation|Children|Comedy|Fantasy
939,1307,When Harry Met Sally... (1989),4.5,Comedy|Romance
947,110,Braveheart (1995),5,Action|Drama|War
947,2959,Fight Club (1999),5,Action|Crime|Drama|Thriller
947,356,Forrest Gump (1994),4.5,Comedy|Drama|Romance|War
947,527,Schindler's List (1993),4.5,Drama|War
947,260,Star Wars: Episode IV - A New Hope (1977),4,Action|Adventure|Sci-Fi
947,1,Toy Story (1995),5,Adventure|Animation|Children|Comedy|Fantasy
947,1307,When Harry Met Sally... (1989),3.5,Comedy|Romance
997,110,Braveheart (1995),4,Action|Drama|War
997,2959,Fight Club (1999),4.5,Action|Crime|Drama|Thriller
997,356,Forrest Gump (1994),4.5,Comedy|Drama|Romance|War
