"Team","PA","HR","R","RBI","SB","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","H","1B","2B","3B","BB","IBB","SO","HBP","SF","GDP","CS","BB%","K%","BB/K","GB/FB","LD%","GB%","FB%","IFFB%","IFH%","BUH%","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","O-Swing% (pi)","Z-Swing% (pi)","Swing% (pi)","O-Contact% (pi)","Z-Contact% (pi)","Zone% (pi)","F-Strike%","SwStr%","HR/FB","BUH","IFH"
"Yankees","132664","4429","17665","16915","2232",".173",".299",".268",".344",".441",".342","109","31375","20497","5968","481","12678","725","23321","1376","1000","2782","743","9.6 %","17.6 %","0.54","1.24","19.9 %","44.3 %","35.8 %","10.0 %","6.6 %","27.3 %","42.4 %","32.6 %","25.0 %","17.0 %","53.6 %","29.5 %","27.9 %","61.8 %","44.4 %","64.0 %","88.5 %","48.8 %","46.6 %","8.6 %","13.4 %","266","2208"
"Red Sox","133386","3950","17560","16726","1740",".170",".307",".272",".344",".443",".341","106","32219","20583","7090","596","12297","877","23408","1227","1074","2794","616","9.2 %","17.5 %","0.53","1.12","20.5 %","42.1 %","37.4 %","10.3 %","6.8 %","28.4 %","42.1 %","32.7 %","25.2 %","15.7 %","53.9 %","30.4 %","27.8 %","60.3 %","43.9 %","66.7 %","88.1 %","49.5 %","47.1 %","8.2 %","11.1 %","219","2190"
"Rockies","131638","3799","16962","16126","1938",".167",".314",".273",".338",".440",".337","89","31985","20931","6359","896","11017","910","24544","1013","917","2598","886","8.4 %","18.6 %","0.45","1.30","21.3 %","44.5 %","34.2 %","9.2 %","6.5 %","22.1 %","38.3 %","34.6 %","27.1 %","17.0 %","54.4 %","28.5 %","31.0 %","63.6 %","46.9 %","64.1 %","86.0 %","48.8 %","48.2 %","9.8 %","12.0 %","472","2126"
"Rangers","131382","4263","17222","16408","1991",".172",".302",".269",".334",".441",".336","100","31625","20483","6273","606","10827","667","23738","1202","1008","2610","796","8.2 %","18.1 %","0.46","1.16","20.5 %","42.8 %","36.7 %","10.1 %","6.8 %","30.2 %","41.0 %","33.5 %","25.5 %","16.2 %","54.1 %","29.7 %","30.1 %","62.5 %","45.9 %","63.4 %","86.9 %","48.8 %","47.7 %","9.7 %","12.3 %","397","2174"
"Indians","131769","3772","16564","15800","2018",".162",".301",".264",".336",".426",".332","103","30864","20076","6450","566","11922","678","24044","1283","1032","2668","799","9.0 %","18.2 %","0.50","1.19","20.5 %","43.2 %","36.3 %","9.7 %","5.8 %","27.8 %","42.9 %","32.1 %","24.9 %","15.9 %","54.9 %","29.3 %","27.4 %","61.9 %","44.6 %","64.1 %","87.7 %","49.9 %","47.0 %","8.8 %","10.8 %","341","1858"
"Cardinals","131420","3729","16269","15479","1647",".158",".301",".266",".337",".424",".330","102","30899","20547","6080","543","11557","1126","23244","1291","957","2736","758","8.8 %","17.7 %","0.50","1.30","20.8 %","44.7 %","34.4 %","9.7 %","6.4 %","17.7 %","39.9 %","33.4 %","26.7 %","16.7 %","54.7 %","28.6 %","29.5 %","64.0 %","46.4 %","63.9 %","88.1 %","48.9 %","48.1 %","9.0 %","11.1 %","336","2150"
"Blue Jays","130688","4124","16303","15562","1805",".170",".293",".261",".329",".431",".330","100","30483","19408","6440","511","11045","580","23606","1269","965","2748","708","8.5 %","18.1 %","0.47","1.14","20.1 %","42.6 %","37.3 %","11.3 %","6.1 %","28.4 %","41.7 %","32.8 %","25.5 %","16.5 %","54.4 %","29.1 %","29.0 %","62.3 %","45.3 %","63.2 %","87.7 %","49.0 %","47.9 %","9.0 %","11.6 %","258","1949"
"Tigers","130083","3601","15626","14926","1653",".157",".304",".267",".328",".424",".327","99","31251","20817","6025","808","10096","660","23592","1080","933","2716","828","7.8 %","18.1 %","0.43","1.17","20.9 %","42.7 %","36.4 %","9.5 %","6.1 %","26.5 %","41.5 %","32.2 %","26.3 %","15.8 %","54.8 %","29.4 %","30.5 %","64.9 %","47.4 %","64.2 %","87.5 %","49.0 %","48.5 %","9.7 %","10.6 %","377","1955"
"White Sox","129462","4031","15845","15171","2051",".163",".293",".262",".325",".424",".326","97","30404","20083","5736","554","10193","542","23017","1252","931","2669","949","7.9 %","17.8 %","0.44","1.19","20.0 %","43.5 %","36.5 %","11.5 %","6.1 %","26.6 %","42.1 %","31.4 %","26.6 %","17.9 %","54.4 %","27.7 %","31.4 %","63.4 %","47.1 %","63.4 %","87.2 %","49.2 %","48.3 %","9.5 %","11.9 %","388","1979"
"Braves","130920","3530","15592","14852","1744",".153",".300",".262",".331",".414",".324","96","30361","20215","6067","549","11425","1018","23944","1066","885","2705","757","8.7 %","18.3 %","0.48","1.32","20.6 %","45.2 %","34.2 %","9.4 %","6.2 %","17.1 %","39.9 %","33.8 %","26.3 %","17.0 %","53.8 %","29.2 %","30.2 %","64.1 %","46.5 %","64.5 %","86.5 %","48.2 %","48.1 %","9.8 %","10.9 %","345","2088"
"Astros","130274","3678","15540","14767","2158",".157",".297",".259",".329",".416",".324","97","29956","19697","6015","566","11163","812","24505","1270","915","2719","896","8.6 %","18.8 %","0.46","1.22","19.9 %","44.1 %","36.0 %","11.0 %","6.9 %","24.6 %","40.8 %","33.5 %","25.6 %","17.8 %","54.7 %","27.4 %","30.2 %","63.5 %","46.5 %","62.8 %","86.5 %","48.8 %","48.2 %","9.7 %","10.9 %","447","2236"
"Orioles","129931","3901","15482","14778","1771",".158",".293",".262",".324",".420",".324","97","30725","20427","5991","406","10035","592","22629","1131","917","2792","732","7.7 %","17.4 %","0.44","1.18","19.7 %","43.5 %","36.8 %","11.1 %","6.6 %","29.3 %","42.1 %","32.4 %","25.5 %","17.4 %","54.2 %","28.4 %","31.6 %","63.9 %","47.2 %","62.9 %","87.1 %","48.1 %","48.3 %","9.4 %","11.3 %","348","2195"
