"Team","W","L","ERA","CG","ShO","SV","HLD","BS","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","GB","FB","LD","Balls","Strikes","Pitches","RS","K/9","BB/9","K/BB","H/9","HR/9","AVG","WHIP","BABIP","LOB%","FIP","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","IFH%","BUH%","Starting","Relieving","Start-IP","Relief-IP","K%","BB%","RS/9","Age","xFIP","Dollars"
"Dodgers","1835","1567","3.76","100","50","940","1308","303","28168","13836","12720","3217","10649","891","1075","1059","129","26341","32119","24255","14257","143446","253132","396578","12049","7.78","3.14","2.47","8.32","0.95",".241","1.27",".286","73.6 %","3.90","1.32","20.2 %","45.5 %","34.3 %","10.9 %","10.4 %","6.2 %","18.7 %","2897.4","792.1","20013.0","10327.1","20.5 %","8.3 %","4.39","29","3.84","$2,079.2"
"Braves","1847","1552","3.84","104","49","922","1318","333","29216","14199","12996","3112","11021","1182","938","1026","98","24516","33734","24440","15238","146796","250437","397233","12387","7.24","3.26","2.22","8.63","0.92",".249","1.32",".290","73.3 %","4.00","1.38","20.8 %","46.0 %","33.3 %","9.0 %","10.4 %","6.1 %","18.8 %","2556.9","644.7","20275.2","10060.5","18.9 %","8.5 %","4.52","28","4.09","$1,447.6"
"Cardinals","1879","1521","3.95","119","60","908","1386","325","29931","14581","13363","3271","10584","706","1260","951","93","23286","34958","24540","15191","143638","249852","393490","12949","6.88","3.13","2.20","8.84","0.97",".253","1.33",".291","73.1 %","4.13","1.42","20.3 %","46.8 %","32.9 %","9.6 %","10.5 %","6.2 %","18.0 %","2444.8","338.9","20179.5","10157.6","17.9 %","8.1 %","4.72","28","4.07","$1,540.1"
"Giants","1774","1626","3.98","125","55","915","1402","342","29179","14562","13492","3099","11467","907","1023","1112","92","24230","31838","26299","14977","148728","252626","401354","11695","7.15","3.39","2.11","8.62","0.91",".248","1.33",".289","72.6 %","4.06","1.21","20.5 %","43.5 %","36.0 %","10.3 %","9.3 %","6.0 %","18.1 %","2217.5","556.8","20348.5","10019.6","18.6 %","8.8 %","4.27","29","4.19","$1,434.0"
"Athletics","1793","1607","4.02","134","52","854","1162","336","29633","14909","13588","3331","10573","761","1055","1092","88","22940","33152","26847","14800","147690","250896","398586","12466","6.79","3.13","2.17","8.77","0.99",".251","1.32",".287","72.0 %","4.16","1.23","19.8 %","44.3 %","35.9 %","10.7 %","10.0 %","6.7 %","26.5 %","2646.2","818.7","20131.8","10147.3","17.7 %","8.2 %","4.55","28","4.22","$1,730.1"
"Mets","1707","1694","4.04","98","51","876","1218","327","29741","14801","13670","3402","11079","1038","1147","877","112","24703","32340","26488","14949","149315","256177","405492","11883","7.30","3.28","2.23","8.79","1.01",".251","1.34",".292","73.0 %","4.14","1.22","20.3 %","43.8 %","35.9 %","10.6 %","10.3 %","7.0 %","18.7 %","2480.2","481.8","20093.1","10213.9","18.9 %","8.5 %","4.34","29","4.19","$1,561.5"
"Yankees","1995","1403","4.12","113","44","987","1265","283","29801","15030","13894","3549","10141","607","1223","1182","95","25477","32620","26269","14749","145467","255914","401381","14125","7.55","3.00","2.51","8.83","1.05",".252","1.31",".294","72.2 %","4.06","1.24","20.0 %","44.3 %","35.7 %","10.7 %","11.0 %","6.7 %","30.3 %","2978.3","1024.7","20129.4","10115.2","19.7 %","7.8 %","5.17","29","4.00","$2,030.0"
"Cubs","1697","1704","4.13","104","39","814","1225","334","28791","15187","13968","3570","11930","862","1233","1161","106","26769","30958","24988","14491","152282","255053","407335","12200","7.92","3.53","2.24","8.52","1.06",".245","1.34",".289","72.4 %","4.16","1.24","20.6 %","44.0 %","35.5 %","10.4 %","11.1 %","6.7 %","22.2 %","2712.4","487.6","20025.4","10265.9","20.5 %","9.1 %","4.46","28","4.03","$1,755.0"
"Padres","1610","1793","4.14","70","29","898","1312","313","29706","15261","13980","3548","11101","977","1060","1073","103","24818","32725","25551","14882","148177","254026","402203","11158","7.35","3.29","2.24","8.80","1.05",".252","1.34",".292","72.1 %","4.19","1.28","20.3 %","44.7 %","34.9 %","9.8 %","11.0 %","6.3 %","20.9 %","1806.1","669.7","19626.3","10624.8","19.1 %","8.5 %","4.08","28","4.10","$1,282.6"
"Expos","1630","1770","4.14","96","35","854","1344","348","30122","15341","13959","3447","10739","1015","1231","1047","123","23842","32226","26696","15060","147078","253013","400091","11898","7.08","3.19","2.22","8.94","1.02",".255","1.35",".293","71.8 %","4.19","1.21","20.4 %","43.6 %","36.1 %","10.3 %","10.4 %","6.6 %","18.9 %","2344.0","529.8","19500.4","10673.2","18.3 %","8.2 %","4.35","27","4.19","$1,639.4"
