Team,UZR,DRS,E,DP,rSB,rGDP,rARM,rGFP,rPM,rPM,BIZ,Plays,RZR,OOZ,TZL,FSR,ARM,DPR,RngR,ErrR,Def,RPP,CPP,FE,TE,DPS,DPT,DPF,Scp,SB,CS,PB,WP,FP,PO,A
Athletics,39.9,36,80,324,1,-7,9,-5,60,60,2116,1747,0.826,534,,,8.1,-1.2,14.3,18.7,42.9,,,42,37,125,105,124,31,83,41,19,74,0.987,4395,1464
Diamondbacks,21,112,86,319,3,4,5,8,51,51,1859,1526,0.821,681,,,9.7,0.2,7.9,3.2,41.2,,,45,40,140,98,139,19,47,31,6,49,0.986,4395,1560
Cardinals,32.8,91,66,395,2,2,5,-3,69,69,1919,1576,0.821,566,,,5.3,5.7,9.5,12.2,39.8,,,44,20,172,129,171,26,34,19,6,46,0.989,4332,1578
Indians,32.9,82,83,243,1,0,8,11,17,17,1881,1542,0.82,550,,,13.5,-0.5,8.1,11.8,38.9,,,35,47,112,73,111,22,53,28,2,42,0.986,4313,1322
Phillies,21.1,51,97,333,10,-4,5,-2,28,28,2007,1621,0.808,541,,,8.2,-8.1,14.1,6.9,36.1,,,49,48,139,113,139,23,66,50,11,45,0.984,4361,1552
Royals,20.3,5,73,377,3,0,-4,6,4,4,2137,1706,0.798,598,,,-2.4,3.8,0.7,18.2,27.3,,,38,34,152,121,152,27,57,27,10,59,0.988,4275,1505
Angels,26.8,9,92,309,-2,0,-7,-7,25,25,1991,1624,0.816,574,,,6.7,0.7,8.4,11,25.8,,,52,37,118,102,118,32,99,35,11,98,0.984,4328,1469
Braves,-10.3,41,78,376,-1,-1,3,1,35,35,2015,1606,0.797,556,,,5.3,0.7,-30.7,14.4,19.6,,,46,30,158,115,157,26,76,20,24,70,0.987,4352,1522
Red Sox,10.8,-28,88,263,1,-8,13,-5,-42,-42,1934,1598,0.826,502,,,15,-5.9,-3.8,5.5,14.8,,,53,33,115,80,115,29,70,31,15,81,0.985,4413,1436
Astros,14.9,96,71,239,-2,-4,-1,27,70,70,1760,1432,0.814,651,,,-0.9,-5.5,17.2,4.1,9.9,,,29,41,99,79,99,30,75,17,7,41,0.988,4387,1353
Devil Rays,-2.1,53,87,299,0,0,2,3,7,7,1802,1435,0.796,630,,,5.1,-1.1,1.1,-7.2,9.1,,,46,41,132,97,130,30,75,35,16,59,0.985,4423,1414
Cubs,11.9,-14,118,380,0,6,4,3,-9,-9,2022,1642,0.812,510,,,0.7,6.4,-2.7,7.5,8.9,,,59,58,143,119,143,41,91,25,10,60,0.981,4326,1619
Padres,3.2,17,116,247,0,-4,-2,-9,4,4,1945,1550,0.797,583,,,-8.1,-2,14.8,-1.5,3.2,,,54,61,101,76,101,25,58,18,6,60,0.98,4296,1386
Giants,5.6,47,90,358,-1,-9,-3,-1,27,27,2018,1642,0.814,578,,,-7.6,-4.5,16.8,0.8,2.6,,,53,35,145,119,144,28,88,33,7,53,0.985,4407,1536
Brewers,10,40,97,303,-4,1,-5,9,23,23,1827,1463,0.801,612,,,-0.4,2.4,15.2,-7.2,2,,,48,49,136,98,136,31,94,34,10,41,0.984,4378,1395
Yankees,2.7,-5,102,336,2,0,2,4,-11,-11,1856,1451,0.782,636,,,-0.2,1.6,1.6,-0.2,1.7,,,48,49,135,99,135,26,71,24,13,55,0.982,4329,1347
Nationals,2.9,-3,87,280,-3,1,7,3,-4,-4,1831,1519,0.83,598,,,1.2,-4.5,-4.1,10.2,0.9,,,52,32,113,87,113,30,86,24,16,53,0.985,4318,1374
Marlins,-1,25,94,316,0,1,-9,2,9,9,1880,1522,0.81,586,,,3.4,2.4,4.1,-10.9,-1,,,43,48,135,98,135,14,57,24,13,71,0.984,4333,1364
Dodgers,-2,126,106,296,-1,4,8,7,61,61,1767,1435,0.812,625,,,5.9,-0.6,10.4,-17.7,-5,,,53,50,119,87,119,29,63,17,11,40,0.982,4337,1428
Rockies,-10.8,9,97,398,2,5,-12,8,1,1,2075,1666,0.803,625,,,-10.9,0.8,3.3,-3.9,-5.8,,,51,45,169,127,169,22,75,30,8,63,0.984,4346,1758
Twins,-9.9,3,111,289,-5,-2,13,-1,-21,-21,1950,1551,0.795,641,,,7.1,-1.3,7.7,-23.4,-9.1,,,59,50,131,91,131,44,71,16,15,71,0.981,4390,1405
Reds,-1.5,58,91,300,-3,4,7,3,30,30,1820,1453,0.798,590,,,-2.8,1.8,-0.8,0.4,-10.5,,,39,51,126,94,127,25,88,26,10,35,0.985,4314,1460
Rangers,-11.1,-52,105,366,-2,-1,-7,-13,-27,-27,2096,1668,0.796,536,,,-12.4,-1.1,3,-0.5,-13.1,,,56,47,143,109,143,28,81,26,11,68,0.982,4314,1364
Blue Jays,-24.9,0,96,306,3,-3,-2,-3,-35,-35,1966,1563,0.795,618,,,-3.4,-4.2,-20.8,3.5,-16.9,,,57,39,144,94,146,37,74,36,9,70,0.984,4321,1503
White Sox,-19.2,-56,117,423,1,10,-2,-4,-76,-76,1925,1528,0.794,609,,,-1,5.6,-12.9,-10.9,-18.2,,,65,50,173,139,172,26,76,26,13,71,0.98,4238,1525
