"Team","PA","HR","R","RBI","SB","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","H","1B","2B","3B","BB","IBB","SO","HBP","SF","GDP","CS","BB%","K%","BB/K","GB/FB","LD%","GB%","FB%","IFFB%","IFH%","BUH%","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","O-Swing% (pi)","Z-Swing% (pi)","Swing% (pi)","O-Contact% (pi)","Z-Contact% (pi)","Zone% (pi)","F-Strike%","SwStr%","HR/FB","BUH","IFH"
"Astros","6394","288","920","891","67",".221",".296",".274",".352",".495",".355","125","1538","899","323","28","645","17","1166","66","57","146","27","10.1 %","18.2 %","0.55","1.11","21.5 %","41.2 %","37.3 %","9.5 %","6.5 %","31.7 %","42.6 %","34.2 %","23.2 %","16.4 %","43.7 %","39.9 %","27.8 %","62.9 %","44.7 %","65.7 %","87.8 %","48.2 %","60.4 %","8.6 %","17.3 %","13","120"
"Twins","6392","307","939","906","28",".224",".300",".270",".338",".494",".347","116","1547","899","318","23","525","21","1334","81","41","101","21","8.2 %","20.9 %","0.39","0.98","22.1 %","38.6 %","39.3 %","10.6 %","6.0 %","34.6 %","43.6 %","32.8 %","23.7 %","15.7 %","43.0 %","41.4 %","31.4 %","67.8 %","48.2 %","59.6 %","86.0 %","46.2 %","59.3 %","11.2 %","17.7 %","9","102"
"Yankees","6245","306","943","904","55",".222",".306",".267",".339",".490",".346","117","1493","880","290","17","569","18","1437","49","33","113","22","9.1 %","23.0 %","0.40","1.12","21.1 %","41.7 %","37.2 %","10.3 %","6.3 %","25.9 %","40.8 %","34.4 %","24.9 %","16.8 %","44.3 %","38.9 %","29.2 %","65.8 %","46.3 %","58.4 %","84.5 %","46.5 %","60.2 %","11.2 %","19.8 %","7","109"
"Dodgers","6281","279","886","861","57",".215",".291",".257",".338",".472",".338","111","1414","813","302","20","607","47","1356","81","45","100","10","9.7 %","21.6 %","0.45","1.07","22.0 %","40.4 %","37.6 %","8.7 %","6.8 %","9.0 %","41.3 %","34.2 %","24.5 %","15.8 %","41.9 %","42.3 %","27.0 %","64.2 %","45.0 %","57.8 %","85.2 %","48.3 %","59.3 %","10.4 %","17.8 %","7","115"
"Red Sox","6475","245","901","857","68",".197",".313",".269",".340",".466",".338","106","1554","937","345","27","590","36","1382","49","44","127","30","9.1 %","21.3 %","0.43","1.18","20.9 %","42.8 %","36.4 %","8.5 %","7.0 %","15.2 %","40.0 %","34.2 %","25.8 %","15.3 %","47.8 %","36.9 %","31.6 %","65.9 %","47.8 %","62.8 %","84.6 %","47.3 %","60.1 %","11.0 %","15.3 %","5","132"
"Nationals","6267","231","873","824","116",".190",".306",".265",".342",".454",".336","103","1460","904","298","27","584","33","1308","81","42","117","29","9.3 %","20.9 %","0.45","1.11","21.1 %","41.6 %","37.4 %","10.5 %","6.6 %","26.3 %","41.8 %","32.9 %","25.3 %","18.4 %","45.5 %","36.1 %","28.7 %","63.4 %","45.3 %","63.0 %","86.7 %","47.9 %","61.0 %","9.5 %","14.8 %","30","115"
"Braves","6302","249","855","824","89",".195",".305",".258",".336",".452",".332","102","1432","877","277","29","619","39","1467","60","35","104","28","9.8 %","23.3 %","0.42","1.14","23.6 %","40.6 %","35.8 %","8.9 %","7.3 %","10.3 %","41.7 %","32.5 %","25.8 %","16.1 %","42.6 %","41.3 %","30.7 %","67.7 %","47.9 %","62.5 %","82.0 %","46.4 %","60.0 %","11.8 %","16.9 %","4","122"
"Cubs","6195","256","814","783","45",".200",".297",".252",".331",".452",".330","102","1378","826","270","26","581","33","1460","83","39","127","24","9.4 %","23.6 %","0.40","1.34","20.2 %","45.8 %","34.0 %","8.7 %","6.1 %","21.9 %","39.5 %","34.8 %","25.7 %","18.1 %","46.8 %","35.0 %","32.2 %","65.4 %","47.2 %","57.5 %","83.3 %","45.2 %","60.0 %","12.3 %","18.8 %","14","112"
"Rockies","6288","224","835","803","71",".190",".321",".265",".326",".456",".328","86","1502","914","323","41","489","25","1503","43","43","111","31","7.8 %","23.9 %","0.33","1.22","22.5 %","42.5 %","35.0 %","9.0 %","5.8 %","14.9 %","38.1 %","35.1 %","26.8 %","16.8 %","46.9 %","36.3 %","32.6 %","66.7 %","48.7 %","60.1 %","84.5 %","47.1 %","61.8 %","11.7 %","15.4 %","14","102"
"Athletics","6269","257","845","800","49",".199",".282",".249",".327",".448",".327","107","1384","812","292","23","578","17","1338","87","36","140","21","9.2 %","21.3 %","0.43","1.08","21.2 %","40.8 %","37.9 %","11.4 %","5.8 %","31.3 %","42.6 %","33.9 %","23.5 %","15.9 %","43.1 %","41.0 %","27.4 %","64.1 %","45.1 %","59.7 %","84.5 %","48.3 %","60.5 %","10.4 %","15.9 %","5","101"
