"Team","UZR","DRS","E","DP","rSB","rGDP","rARM","rGFP","rPM","rPM","BIZ","Plays","RZR","OOZ","TZL","FSR","ARM","DPR","RngR","ErrR","Def","RPP","CPP","FE","TE","DPS","DPT","DPF","Scp","SB","CS","PB","WP","FP","PO","A"
"Angels","359.0","222","2156","7806","7","36","11","77","49","49","39000","31511",".808","7727","","101","55.1","18.6","238.8","46.6","385.1","0.1","509","913","767","2581","1931","2569","613","3987","965","255","1406",".984","95451","34530"
"Giants","359.9","185","2065","7922","6","-19","-63","-40","170","170","38224","31235",".817","7750","","161","-57.1","-17.9","386.6","48.3","361.2","-13.7","443","960","671","2560","1966","2555","525","1867","901","200","1165",".985","95852","35535"
"Rays","340.1","189","2258","7785","-8","3","75","3","57","57","37861","30298",".800","8398","","214","46.3","-23.7","408.4","-91.0","326.9","-18.1","393","914","830","2549","1899","2536","652","1785","854","243","1322",".983","95156","33851"
"Cubs","328.3","-40","2358","7139","0","-18","-16","-63","126","126","36971","30076",".814","7175","","-7","-1.7","12.4","355.7","-38.1","312.9","20.7","515","1006","875","2451","1845","2441","588","4276","872","228","1221",".982","95602","34936"
"Mariners","168.0","-73","2110","8248","11","46","-11","-26","-77","-77","39542","31954",".808","8108","","19","-31.3","52.2","136.4","10.8","167.9","-41.1","436","959","707","2728","2062","2717","527","1643","807","255","1277",".984","95397","34662"
"Braves","173.2","405","2190","8125","-7","4","29","-47","367","367","38682","31079",".803","8291","","-98","64.3","15.3","74.3","19.3","165.3","15.1","502","973","754","2767","2108","2763","605","3946","784","255","1096",".984","95722","36766"
"Cardinals","12.2","549","2252","8825","39","21","-44","48","334","334","39271","31738",".808","7902","","-28","-37.8","50.0","-5.7","5.7","157.8","30.5","473","1001","732","2957","2283","2945","602","2253","736","173","997",".983","95703","37671"
"Phillies","131.3","-131","2070","7646","-12","1","115","6","-176","-176","38230","30824",".806","7431","","-45","63.5","-9.6","0.1","77.3","126.6","30.3","406","913","731","2585","1919","2576","510","1835","775","230","1066",".985","95710","35499"
"Twins","112.8","-271","2117","7969","-28","-10","28","52","-300","-300","40194","32481",".808","7731","","-135","15.6","-26.1","93.2","30.1","108.3","-8.5","373","869","802","2701","2079","2694","620","3117","711","198","1183",".984","95419","35079"
"Reds","45.2","118","2239","7567","8","-42","94","27","11","11","38769","31310",".808","7492","","225","51.9","-23.9","0.9","16.3","101.1","25.9","474","926","821","2537","1899","2532","520","1627","824","241","1172",".983","95617","35522"
