"Team","PA","HR","R","RBI","SB","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","H","1B","2B","3B","BB","IBB","SO","HBP","SF","GDP","CS","BB%","K%","BB/K","GB/FB","LD%","GB%","FB%","IFFB%","IFH%","BUH%","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","O-Swing% (pi)","Z-Swing% (pi)","Swing% (pi)","O-Contact% (pi)","Z-Contact% (pi)","Zone% (pi)","F-Strike%","SwStr%","HR/FB","BUH","IFH"
"Yankees","138909","4735","18608","17819","2287",".175",".299",".268",".344",".443",".342","109","32868","21377","6258","498","13247","743","24758","1425","1033","2895","765","9.5 %","17.8 %","0.54","1.23","20.0 %","44.2 %","35.9 %","10.0 %","6.6 %","27.3 %","42.3 %","32.6 %","25.0 %","17.0 %","53.1 %","29.9 %","28.0 %","62.1 %","44.6 %","63.4 %","88.1 %","48.6 %","47.2 %","8.7 %","13.7 %","273","2317"
"Red Sox","139861","4195","18461","17583","1808",".171",".308",".272",".344",".444",".341","106","33773","21520","7435","623","12887","913","24790","1276","1118","2921","646","9.2 %","17.7 %","0.52","1.13","20.5 %","42.1 %","37.3 %","10.2 %","6.8 %","27.9 %","42.0 %","32.8 %","25.3 %","15.7 %","53.6 %","30.8 %","28.2 %","60.7 %","44.2 %","66.3 %","87.8 %","49.3 %","47.7 %","8.3 %","11.3 %","224","2322"
"Rockies","137926","4023","17797","16929","2009",".168",".314",".273",".338",".441",".337","89","33487","21845","6682","937","11506","935","26047","1056","960","2709","917","8.3 %","18.9 %","0.44","1.30","21.3 %","44.4 %","34.3 %","9.2 %","6.5 %","21.8 %","38.3 %","34.6 %","27.1 %","17.0 %","54.0 %","29.0 %","31.2 %","63.9 %","47.1 %","63.7 %","85.9 %","48.6 %","48.9 %","9.9 %","12.2 %","486","2228"
"Rangers","137586","4486","18032","17173","2122",".173",".302",".268",".334",".441",".335","99","32999","21314","6569","630","11361","685","25316","1269","1052","2708","834","8.3 %","18.4 %","0.45","1.17","20.5 %","42.8 %","36.7 %","10.0 %","6.7 %","30.5 %","41.0 %","33.5 %","25.5 %","16.1 %","53.6 %","30.3 %","30.1 %","62.5 %","45.9 %","63.0 %","86.6 %","48.7 %","48.3 %","9.8 %","12.5 %","417","2279"
"Indians","137893","3995","17333","16531","2121",".163",".301",".264",".336",".427",".332","102","32218","20903","6736","584","12485","708","25376","1333","1078","2778","834","9.1 %","18.4 %","0.49","1.19","20.5 %","43.2 %","36.3 %","9.8 %","5.8 %","27.2 %","42.9 %","32.2 %","24.9 %","15.9 %","54.4 %","29.8 %","27.5 %","62.2 %","44.7 %","63.7 %","87.6 %","49.7 %","47.6 %","8.9 %","11.0 %","356","1965"
"Cardinals","137587","3939","17033","16193","1763",".158",".301",".265",".336",".423",".330","101","32235","21403","6326","567","12118","1141","24664","1367","996","2846","787","8.8 %","17.9 %","0.49","1.29","20.9 %","44.5 %","34.6 %","9.7 %","6.4 %","18.0 %","40.0 %","33.5 %","26.5 %","16.7 %","54.1 %","29.2 %","29.6 %","64.0 %","46.4 %","63.6 %","87.9 %","48.7 %","48.7 %","9.1 %","11.2 %","356","2284"
"Blue Jays","136779","4371","17029","16259","1856",".171",".292",".260",".328",".431",".329","100","31782","20169","6710","532","11554","590","25120","1314","993","2855","728","8.4 %","18.4 %","0.46","1.14","20.2 %","42.5 %","37.4 %","11.3 %","6.1 %","28.3 %","41.8 %","32.8 %","25.4 %","16.6 %","53.9 %","29.5 %","29.2 %","62.4 %","45.4 %","62.7 %","87.4 %","48.8 %","48.5 %","9.2 %","11.8 %","266","2040"
"Astros","136668","3966","16460","15658","2225",".160",".297",".260",".330",".420",".326","98","31494","20596","6338","594","11808","829","25671","1336","972","2865","923","8.6 %","18.8 %","0.46","1.22","20.0 %","43.9 %","36.1 %","10.9 %","6.9 %","24.8 %","40.9 %","33.6 %","25.5 %","17.8 %","54.1 %","28.2 %","30.0 %","63.5 %","46.3 %","63.0 %","86.6 %","48.8 %","48.8 %","9.7 %","11.3 %","460","2356"
"White Sox","135504","4213","16553","15847","2114",".162",".294",".262",".325",".424",".325","97","31847","21064","5996","574","10571","555","24566","1318","963","2783","977","7.8 %","18.1 %","0.43","1.20","20.1 %","43.6 %","36.3 %","11.4 %","6.2 %","26.5 %","41.9 %","31.5 %","26.7 %","17.9 %","54.2 %","28.0 %","31.6 %","63.6 %","47.3 %","62.8 %","87.0 %","49.0 %","48.9 %","9.7 %","12.0 %","404","2124"
"Tigers","136122","3750","16208","15482","1710",".157",".304",".265",".327",".422",".325","98","32584","21668","6317","849","10487","674","25187","1128","975","2824","848","7.7 %","18.5 %","0.42","1.17","21.0 %","42.6 %","36.4 %","9.6 %","6.1 %","26.4 %","41.4 %","32.4 %","26.3 %","15.8 %","54.3 %","29.8 %","31.0 %","65.0 %","47.6 %","63.7 %","87.2 %","48.9 %","49.1 %","9.9 %","10.6 %","385","2059"
