"Team","W","L","ERA","CG","ShO","SV","HLD","BS","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","GB","FB","LD","Balls","Strikes","Pitches","RS","K/9","BB/9","K/BB","H/9","HR/9","AVG","WHIP","BABIP","LOB%","FIP","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","IFH%","BUH%","Starting","Relieving","Start-IP","Relief-IP","K%","BB%","RS/9","Age","xFIP","Dollars"
"Dodgers","1941","1623","3.74","103","51","984","1382","331","29369","14449","13265","3402","11041","915","1141","1099","136","27860","33847","25566","15066","151256","268362","419618","12935","7.85","3.11","2.52","8.28","0.96",".240","1.27",".286","73.7 %","3.89","1.32","20.2 %","45.4 %","34.3 %","11.0 %","10.6 %","6.2 %","19.2 %","3090.2","835.8","20904.1","10874.9","20.7 %","8.2 %","4.46","29","3.84","$2,271.8"
"Braves","1944","1617","3.86","105","49","966","1424","355","30637","14942","13673","3315","11569","1215","1007","1096","101","25909","35611","25792","16162","155618","265763","421381","13242","7.31","3.26","2.24","8.64","0.94",".249","1.32",".291","73.3 %","4.01","1.38","20.8 %","45.9 %","33.3 %","9.1 %","10.6 %","6.1 %","19.0 %","2669.3","654.7","21145.4","10632.1","19.1 %","8.5 %","4.56","28","4.11","$1,546.3"
"Cardinals","1970","1592","3.94","120","61","960","1483","346","31215","15243","13976","3462","11129","747","1329","997","97","24685","36758","25856","16083","152365","265009","417374","13713","6.96","3.14","2.22","8.81","0.98",".252","1.33",".291","73.2 %","4.14","1.42","20.4 %","46.7 %","32.9 %","9.6 %","10.7 %","6.1 %","17.9 %","2553.5","386.1","21061.1","10713.7","18.1 %","8.2 %","4.73","28","4.09","$1,664.6"
"Giants","1851","1711","4.00","126","55","956","1488","364","30574","15335","14207","3326","11986","933","1088","1165","96","25598","33616","27805","15911","157555","268237","425792","12373","7.21","3.38","2.14","8.61","0.94",".248","1.33",".289","72.6 %","4.08","1.21","20.6 %","43.5 %","36.0 %","10.3 %","9.6 %","6.0 %","18.1 %","2257.0","591.9","21194.0","10631.9","18.8 %","8.8 %","4.26","29","4.22","$1,494.4"
"Athletics","1890","1672","4.02","135","53","899","1271","366","30975","15589","14234","3532","11050","780","1121","1166","92","24239","34913","28440","15694","156314","266155","422469","13311","6.84","3.12","2.19","8.75","1.00",".251","1.32",".287","72.1 %","4.17","1.23","19.9 %","44.2 %","36.0 %","10.8 %","10.1 %","6.6 %","26.7 %","2764.9","889.4","21015.7","10723.5","17.9 %","8.2 %","4.59","28","4.25","$1,880.2"
"Mets","1793","1770","4.05","101","54","914","1277","354","31146","15538","14360","3606","11579","1078","1207","924","114","26223","34112","27959","15791","157957","272013","429970","12674","7.40","3.27","2.26","8.79","1.02",".251","1.34",".293","73.0 %","4.13","1.22","20.3 %","43.8 %","35.9 %","10.6 %","10.5 %","6.9 %","18.9 %","2670.2","487.2","21032.1","10728.2","19.2 %","8.5 %","4.37","29","4.19","$1,724.4"
"Yankees","2098","1462","4.12","114","45","1037","1366","308","31175","15769","14585","3797","10648","619","1267","1237","100","27011","34324","27749","15581","154294","271568","425862","15068","7.64","3.01","2.54","8.82","1.07",".252","1.31",".294","72.3 %","4.08","1.24","20.1 %","44.2 %","35.7 %","10.8 %","11.3 %","6.8 %","30.5 %","3085.2","1100.9","20905.4","10773.8","19.9 %","7.9 %","5.20","29","4.01","$2,175.4"
"Cubs","1781","1782","4.13","105","40","852","1296","362","30167","15904","14625","3765","12464","878","1313","1221","107","28213","32823","26292","15387","161211","270466","431677","13014","7.97","3.52","2.26","8.52","1.06",".245","1.34",".290","72.5 %","4.17","1.25","20.7 %","44.1 %","35.3 %","10.2 %","11.3 %","6.7 %","22.2 %","2867.9","500.2","20911.3","10815.0","20.6 %","9.1 %","4.49","28","4.04","$1,890.9"
"Astros","1820","1743","4.13","97","41","907","1415","366","31274","15815","14617","3866","11160","805","1193","1153","104","27414","34404","26696","15357","155572","270465","426037","12977","7.75","3.15","2.46","8.84","1.09",".253","1.33",".296","72.8 %","4.13","1.29","20.1 %","45.0 %","34.9 %","9.9 %","11.7 %","6.1 %","22.0 %","2777.3","614.3","20856.9","10850.3","20.1 %","8.2 %","4.49","28","4.00","$1,795.7"
"Expos","1723","1839","4.15","97","36","894","1438","377","31462","16065","14643","3649","11256","1056","1292","1100","128","25353","33923","28145","15899","155763","268527","424290","12771","7.19","3.19","2.25","8.92","1.03",".254","1.35",".293","71.8 %","4.19","1.21","20.4 %","43.5 %","36.1 %","10.3 %","10.6 %","6.6 %","18.9 %","2548.2","538.1","20437.9","11168.5","18.6 %","8.3 %","4.42","28","4.20","$1,817.9"
"Padres","1680","1885","4.16","70","29","945","1408","338","31100","16050","14717","3763","11564","996","1128","1133","109","26293","34480","27005","15752","156596","269505","426101","11840","7.43","3.27","2.27","8.79","1.06",".251","1.34",".292","72.0 %","4.19","1.28","20.4 %","44.6 %","35.0 %","9.8 %","11.2 %","6.4 %","21.1 %","1907.9","724.0","20435.1","11236.8","19.3 %","8.5 %","4.09","28","4.11","$1,407.3"
"Angels","1877","1687","4.19","108","50","973","1269","333","31390","15995","14823","3912","11426","649","1190","1406","103","24864","32964","29787","15759","158588","268769","427357","13619","7.03","3.23","2.18","8.88","1.11",".254","1.35",".290","72.7 %","4.33","1.11","20.1 %","42.0 %","37.9 %","10.0 %","10.7 %","6.4 %","29.1 %","2244.7","689.9","20731.5","10953.5","18.3 %","8.4 %","4.70","28","4.28","$1,539.0"
"Red Sox","1978","1585","4.19","101","33","922","1261","353","31232","16144","14866","3663","11094","544","1505","1079","85","27013","33712","28544","15575","156402","274882","431284","15185","7.62","3.13","2.43","8.81","1.03",".252","1.33",".295","71.5 %","4.09","1.18","20.0 %","43.3 %","36.7 %","11.4 %","10.6 %","6.7 %","28.5 %","2891.0","752.5","20769.8","10990.0","19.8 %","8.1 %","5.23","29","4.14","$1,882.2"
"Diamondbacks","1763","1801","4.22","135","51","878","1275","367","31576","16313","14959","3914","11221","903","1232","1261","144","26712","35129","26623","16003","156253","269348","425601","13040","7.53","3.16","2.38","8.90","1.10",".254","1.34",".295","71.9 %","4.20","1.32","20.6 %","45.2 %","34.2 %","9.6 %","11.9 %","6.4 %","22.0 %","2768.3","430.7","21226.0","10558.2","19.5 %","8.2 %","4.49","28","4.06","$1,612.0"
"Indians","1857","1705","4.25","143","54","837","1184","317","31928","16359","15023","3706","11158","768","1184","1078","97","26098","35010","27307","16022","152827","269396","422223","13627","7.38","3.16","2.34","9.03","1.05",".257","1.35",".300","71.4 %","4.14","1.28","20.5 %","44.7 %","34.9 %","10.0 %","11.0 %","6.6 %","28.4 %","2901.5","781.1","20919.9","10750.4","19.1 %","8.2 %","4.71","28","4.08","$2,042.8"
"Phillies","1789","1774","4.28","145","61","875","1341","349","31837","16347","15162","4033","11308","950","1360","1066","119","26140","34464","27490","16091","154310","269780","424090","13299","7.37","3.19","2.31","8.98","1.14",".256","1.35",".295","72.5 %","4.30","1.25","20.6 %","44.2 %","35.2 %","10.8 %","11.9 %","6.4 %","20.6 %","2493.1","505.8","21011.0","10754.9","19.1 %","8.3 %","4.58","28","4.12","$1,758.2"
"Mariners","1750","1813","4.28","137","57","935","1257","381","31558","16326","15118","3984","11179","716","1211","1277","117","24576","33954","29616","15930","155067","267651","422718","12422","6.96","3.16","2.20","8.93","1.13",".255","1.34",".290","72.0 %","4.36","1.15","20.0 %","42.7 %","37.3 %","10.6 %","11.0 %","6.1 %","28.9 %","2315.7","587.7","20934.0","10723.2","18.1 %","8.2 %","4.29","28","4.32","$1,533.5"
"Devil Rays","1686","1876","4.34","104","41","893","1333","347","31159","16638","15285","3969","11949","682","1360","1323","121","25731","32536","29516","15582","158642","270185","428827","12913","7.30","3.39","2.15","8.84","1.13",".253","1.36",".291","71.5 %","4.37","1.10","20.1 %","41.9 %","38.0 %","11.0 %","10.9 %","6.5 %","30.2 %","2224.2","463.9","20055.1","11519.0","18.9 %","8.8 %","4.47","27","4.29","$1,606.1"
"Brewers","1713","1850","4.34","70","30","931","1400","397","31835","16705","15326","4011","12172","935","1204","1257","99","25932","33700","27764","16001","160619","270046","430665","12885","7.34","3.45","2.13","9.01","1.14",".256","1.38",".295","72.0 %","4.38","1.21","20.7 %","43.5 %","35.8 %","10.2 %","11.7 %","6.6 %","22.9 %","1962.0","483.9","20262.9","11384.7","18.9 %","8.9 %","4.46","28","4.18","$1,427.8"
"Pirates","1620","1938","4.34","82","32","877","1410","348","32414","16734","15302","3535","12198","1074","1394","1273","120","24344","36316","26378","16444","156508","264387","420895","12248","6.91","3.46","2.00","9.20","1.00",".261","1.41",".300","71.3 %","4.31","1.38","20.8 %","45.9 %","33.3 %","9.2 %","11.0 %","6.6 %","23.0 %","2079.2","462.1","20179.4","11385.1","17.7 %","8.9 %","4.25","28","4.28","$1,363.4"
"Marlins","1636","1924","4.36","104","47","842","1355","397","31748","16661","15362","3462","12822","1211","1280","1146","126","25437","33570","27976","16083","160568","268699","429267","12336","7.21","3.64","1.98","9.00","0.98",".257","1.40",".299","71.2 %","4.25","1.20","20.7 %","43.2 %","36.0 %","10.2 %","10.0 %","6.4 %","20.1 %","2215.6","406.1","20343.4","11250.2","18.5 %","9.3 %","4.27","27","4.32","$1,466.2"
"Blue Jays","1771","1792","4.39","157","56","852","1216","351","32115","16802","15512","3978","11545","704","1347","1160","116","24914","35779","27737","15776","157409","266739","424148","13702","7.05","3.27","2.16","9.09","1.13",".259","1.37",".295","71.5 %","4.38","1.29","19.9 %","45.1 %","35.0 %","10.4 %","11.7 %","6.4 %","33.1 %","2456.0","555.2","20650.8","10992.3","18.2 %","8.4 %","4.74","28","4.26","$1,553.0"
"Reds","1699","1866","4.42","92","36","882","1219","369","32048","16920","15648","4338","11978","965","1307","1172","134","25092","34237","28442","16381","158641","270586","429227","12875","7.09","3.38","2.09","9.05","1.22",".257","1.38",".291","72.4 %","4.55","1.20","20.7 %","43.3 %","36.0 %","10.2 %","12.6 %","6.3 %","21.1 %","1867.2","436.6","20318.6","11408.7","18.2 %","8.7 %","4.44","28","4.30","$1,219.5"
"White Sox","1755","1808","4.43","131","39","862","1188","324","32115","17001","15605","4053","11581","788","1289","1306","115","24593","34313","28763","15872","158331","269204","427535","13139","6.98","3.29","2.12","9.11","1.15",".259","1.38",".294","71.2 %","4.43","1.19","20.1 %","43.5 %","36.4 %","10.6 %","11.3 %","6.3 %","28.6 %","2630.8","768.4","21276.6","10316.4","18.0 %","8.5 %","4.55","27","4.30","$1,889.5"
"Twins","1761","1802","4.43","118","46","893","1269","331","33670","16852","15648","4067","9767","606","1070","1183","92","23492","34941","30049","16823","149690","269652","419342","13542","6.65","2.76","2.41","9.53","1.15",".268","1.37",".301","71.3 %","4.31","1.16","20.6 %","42.7 %","36.7 %","10.4 %","10.9 %","6.0 %","26.6 %","2347.2","726.1","20428.5","11244.0","17.2 %","7.2 %","4.68","28","4.27","$1,618.8"
"Tigers","1645","1915","4.59","111","35","827","1137","363","33026","17527","16148","3936","11438","777","1213","1234","123","23641","34859","29256","16226","157780","268731","426511","13192","6.72","3.25","2.07","9.39","1.12",".265","1.41",".300","70.1 %","4.43","1.19","20.2 %","43.4 %","36.4 %","10.3 %","10.9 %","6.5 %","30.1 %","2591.6","357.2","20712.2","10781.6","17.2 %","8.3 %","4.58","27","4.38","$1,694.7"
"Rangers","1802","1763","4.73","102","40","919","1334","324","33357","18022","16614","4054","12082","618","1360","1207","136","23640","35129","28723","16932","162724","270694","433418","14409","6.72","3.44","1.96","9.49","1.15",".267","1.44",".301","70.0 %","4.55","1.22","21.0 %","43.5 %","35.6 %","10.3 %","11.4 %","6.4 %","27.7 %","2139.3","757.1","20061.7","11418.9","17.1 %","8.7 %","5.01","28","4.44","$1,586.7"
