,TEAM,PITCH_W,PITCH_L,PITCH_ERA,PITCH_CG,PITCH_ShO,PITCH_SV,PITCH_HLD,PITCH_BS,PITCH_H,PITCH_R,PITCH_ER,PITCH_HR,PITCH_BB,PITCH_IBB,PITCH_HBP,PITCH_WP,PITCH_BK,PITCH_SO,PITCH_GB,PITCH_FB,PITCH_LD,PITCH_Balls,PITCH_Strikes,PITCH_Pitches,PITCH_RS,PITCH_Kper9,PITCH_BBper9,PITCH_KperBB,PITCH_Hper9,PITCH_HRper9,PITCH_AVG,PITCH_WHIP,PITCH_BABIP,PITCH_LOB,PITCH_FIP,PITCH_GBperFB,PITCH_IFFB,PITCH_HRperFB,PITCH_IFH,PITCH_BUH,PITCH_Starting,PITCH_Relieving,PITCH_Start_IP,PITCH_Relief_IP,PITCH_K,PITCH_RSper9,PITCH_Age,PITCH_xFIP,BATTING_PA,BATTING_HR,BATTING_R,BATTING_RBI,BATTING_SB,BATTING_ISO,BATTING_BABIP,BATTING_AVG,BATTING_OBP,BATTING_SLG,BATTING_wOBA,BATTING_wRC_Plus,BATTING_H,BATTING_X1B,BATTING_X2B,BATTING_X3B,BATTING_BB,BATTING_IBB,BATTING_SO,BATTING_HBP,BATTING_SF,BATTING_GDP,BATTING_CS,BATTING_BB.1,BATTING_K,BATTING_BB_to_K,BATTING_GB_to_FB,BATTING_LD,BATTING_GB,BATTING_FB,BATTING_IFFB,BATTING_IFH,BATTING_BUH,BATTING_Pull,BATTING_Cent,BATTING_Oppo,BATTING_Soft,BATTING_Med,BATTING_Hard,BATTING_HR_to_FB,FIELDING_UZR,FIELDING_DRS,FIELDING_E,FIELDING_DP,FIELDING_rSB,FIELDING_rGDP,FIELDING_rARM,FIELDING_rGFP,FIELDING_rPM,FIELDING_BIZ,FIELDING_Plays,FIELDING_RZR,FIELDING_OOZ,FIELDING_TZL,FIELDING_FSR,FIELDING_ARM,FIELDING_DPR,FIELDING_RngR,FIELDING_ErrR,FIELDING_Def,FIELDING_RPP,FIELDING_CPP,FIELDING_FE,FIELDING_TE,FIELDING_DPS,FIELDING_DPT,FIELDING_DPF,FIELDING_Scp,FIELDING_SB,FIELDING_CS,FIELDING_PB,FIELDING_WP,FIELDING_FP,FIELDING_PO,FIELDING_A
1,Angels,1805,1597,4.15,108,50,941,1197,319,29973,15127,14003,3645,10850,638,1108,1308,94,23460,31276,28217,14839,149118,253096,402214,12850,6.95,3.21,2.16,8.88,1.08,0.254,1.34,0.29,0.728,4.3,1.11,0.101,0.103,0.064,0.29,2213.8,666.1,20054,10196.5,0.181,4.7,28,4.25,129872,3472,15903,15110,2373,0.15,0.297,0.265,0.328,0.416,0.324,99,30954,20969,5939,574,10294,793,21741,1132,995,2677,976,0.079,0.167,0.47,1.25,0.198,0.445,0.357,0.102,0.063,0.292,0.412,0.332,0.257,0.168,0.558,0.275,0.102,332.2,221,2064,7497,9,36,18,84,24,37009,29887,0.808,7153,NA,101,48.4,17.8,230.4,35.6,359.3,0.1,509,861,730,2463,1829,2451,581,3789,930,244,1308,0.984,91123,33061
2,Astros,1713,1688,4.15,95,40,860,1318,346,30069,15175,14022,3636,10712,805,1152,1112,96,25743,32748,25322,14585,146964,255050,402014,12057,7.63,3.17,2.4,8.91,1.08,0.254,1.34,0.297,0.726,4.13,1.29,0.1,0.115,0.062,0.218,2591.2,570.3,19952.6,10298.1,0.198,4.42,28,4.01,130274,3678,15540,14767,2158,0.157,0.297,0.259,0.329,0.416,0.324,97,29956,19697,6015,566,11163,812,24505,1270,915,2719,896,0.086,0.188,0.46,1.22,0.199,0.441,0.36,0.11,0.069,0.246,0.408,0.335,0.256,0.178,0.547,0.274,0.109,-44.3,208,2045,7498,-13,14,83,71,10,35253,28251,0.801,7749,NA,-84,52.6,-3.4,-81.8,-11.7,-59.1,7.2,465,878,684,2460,1864,2451,553,3330,704,197,1112,0.984,91135,34576
3,Athletics,1793,1607,4.02,134,52,854,1162,336,29633,14909,13588,3331,10573,761,1055,1092,88,22940,33152,26847,14800,147690,250896,398586,12466,6.79,3.13,2.17,8.77,0.99,0.251,1.32,0.287,0.72,4.16,1.23,0.107,0.1,0.067,0.265,2646.2,818.7,20131.8,10147.3,0.177,4.55,28,4.22,131219,3679,15994,15226,1587,0.156,0.288,0.255,0.329,0.411,0.324,99,29629,19324,6128,498,12295,591,23544,1125,953,2733,571,0.094,0.179,0.52,1.07,0.203,0.411,0.386,0.109,0.062,0.267,0.407,0.335,0.258,0.164,0.56,0.276,0.098,-74.4,-19,2262,7890,1,16,-31,-6,-25,36966,30146,0.816,7189,NA,-63,-89.7,-9.3,55.3,-30.7,-45.1,-0.7,391,883,820,2582,1964,2577,625,1763,831,228,1094,0.982,91220,34605
4,Blue Jays,1704,1697,4.37,156,56,819,1144,341,30665,15974,14745,3750,10941,679,1278,1090,110,23582,33939,26210,14876,148030,251188,399218,12976,6.99,3.24,2.16,9.09,1.11,0.259,1.37,0.295,0.715,4.36,1.29,0.104,0.116,0.063,0.328,2384.5,537.5,19943.9,10270.3,0.18,4.76,28,4.22,130688,4124,16303,15562,1805,0.17,0.293,0.261,0.329,0.431,0.33,100,30483,19408,6440,511,11045,580,23606,1269,965,2748,708,0.085,0.181,0.47,1.14,0.201,0.426,0.373,0.113,0.061,0.284,0.417,0.328,0.255,0.165,0.544,0.291,0.116,-40.1,290,2069,8050,-27,2,103,16,182,36983,29965,0.81,7181,NA,-72,46.1,-17.1,-108.9,39.9,-101.7,0.4,509,811,814,2604,2002,2597,570,1952,770,290,1091,0.984,91068,34934
5,Braves,1847,1552,3.84,104,49,922,1318,333,29216,14199,12996,3112,11021,1182,938,1026,98,24516,33734,24440,15238,146796,250437,397233,12387,7.24,3.26,2.22,8.63,0.92,0.249,1.32,0.29,0.733,4,1.38,0.09,0.104,0.061,0.188,2556.9,644.7,20275.2,10060.5,0.189,4.52,28,4.09,130920,3530,15592,14852,1744,0.153,0.3,0.262,0.331,0.414,0.324,96,30361,20215,6067,549,11425,1018,23944,1066,885,2705,757,0.087,0.183,0.48,1.32,0.206,0.452,0.342,0.094,0.062,0.171,0.399,0.338,0.263,0.17,0.538,0.292,0.109,183.5,362,2112,7749,-6,5,26,-48,332,36667,29473,0.804,7735,NA,-98,59.1,14.6,105,4.9,179.6,15.1,502,927,724,2609,1993,2606,579,3794,764,231,1026,0.984,91370,35244
6,Brewers,1624,1777,4.34,70,30,881,1296,370,30471,15939,14612,3786,11602,907,1144,1216,96,24435,31994,26322,15102,151428,254232,405660,12116,7.25,3.44,2.11,9.04,1.12,0.257,1.39,0.295,0.719,4.37,1.22,0.102,0.115,0.067,0.23,1876,443.1,19477.5,10720.8,0.186,4.44,28,4.16,129988,3796,15118,14432,2147,0.161,0.298,0.255,0.325,0.416,0.323,94,29490,19132,5954,608,10997,861,26162,1379,835,2604,826,0.085,0.201,0.42,1.27,0.199,0.448,0.353,0.1,0.065,0.213,0.392,0.34,0.268,0.173,0.531,0.295,0.122,-75.2,72,2335,7614,-16,-23,-43,-9,32,35733,28556,0.799,7439,NA,-82,-40.7,-28.8,139.2,-144.9,332,28.4,559,985,869,2470,1823,2465,457,1858,801,178,1216,0.982,90992,33919
7,Cardinals,1879,1521,3.95,119,60,908,1386,325,29931,14581,13363,3271,10584,706,1260,951,93,23286,34958,24540,15191,143638,249852,393490,12949,6.88,3.13,2.2,8.84,0.97,0.253,1.33,0.291,0.731,4.13,1.42,0.096,0.105,0.062,0.18,2444.8,338.9,20179.5,10157.6,0.179,4.72,28,4.07,131420,3729,16269,15479,1647,0.158,0.301,0.266,0.337,0.424,0.33,102,30899,20547,6080,543,11557,1126,23244,1291,957,2736,758,0.088,0.177,0.5,1.3,0.208,0.447,0.344,0.097,0.064,0.177,0.399,0.334,0.267,0.167,0.547,0.286,0.111,-20.6,474,2186,8430,37,19,-49,51,265,37352,30162,0.808,7336,NA,-28,-43.2,44.4,-15.2,-6.5,118,30.5,473,957,712,2785,2154,2774,576,2185,717,167,951,0.983,91371,36093
8,Cubs,1697,1704,4.13,104,39,814,1225,334,28791,15187,13968,3570,11930,862,1233,1161,106,26769,30958,24988,14491,152282,255053,407335,12200,7.92,3.53,2.24,8.52,1.06,0.245,1.34,0.289,0.724,4.16,1.24,0.104,0.111,0.067,0.222,2712.4,487.6,20025.4,10265.9,0.205,4.46,28,4.03,130732,3764,15320,14583,1537,0.16,0.297,0.257,0.326,0.417,0.323,94,29873,19475,6010,624,11143,928,25396,1175,828,2559,741,0.085,0.194,0.44,1.25,0.205,0.442,0.354,0.096,0.067,0.199,0.41,0.329,0.261,0.173,0.544,0.283,0.115,316.4,-38,2240,6759,0,-24,-20,-66,135,34949,28434,0.814,6665,NA,-7,-2.5,6,358.4,-45.5,304.1,20.7,515,947,817,2308,1726,2298,547,4094,847,218,1161,0.982,91276,33317
9,Diamondbacks,1678,1724,4.22,135,51,833,1185,343,30176,15570,14268,3694,10705,865,1170,1212,140,25285,33341,25171,15098,147433,253868,401301,12227,7.47,3.16,2.36,8.92,1.09,0.254,1.34,0.295,0.718,4.19,1.32,0.096,0.117,0.064,0.217,2659.5,402.6,20360.3,9965.2,0.194,4.46,28,4.04,130766,3573,15410,14694,1922,0.16,0.297,0.257,0.326,0.417,0.322,90,29903,19348,6113,869,11281,977,25116,1039,928,2466,769,0.086,0.192,0.45,1.26,0.205,0.444,0.352,0.108,0.059,0.191,0.398,0.339,0.262,0.169,0.537,0.295,0.109,-90.3,337,2100,7409,-6,-3,-101,-6,362,36431,29291,0.804,7371,NA,113,-71.4,-14.4,-22.9,18.4,-81.2,-17.9,449,936,753,2471,1938,2459,528,1544,844,234,1212,0.984,91353,34560
10,Dodgers,1835,1567,3.76,100,50,940,1308,303,28168,13836,12720,3217,10649,891,1075,1059,129,26341,32119,24255,14257,143446,253132,396578,12049,7.78,3.14,2.47,8.32,0.95,0.241,1.27,0.286,0.736,3.9,1.32,0.109,0.104,0.062,0.187,2897.4,792.1,20013,10327.1,0.205,4.39,29,3.84,130216,3415,15067,14322,2125,0.148,0.295,0.258,0.328,0.407,0.321,97,29856,20154,5681,606,11293,952,23479,1151,870,2627,868,0.087,0.18,0.48,1.31,0.209,0.449,0.342,0.098,0.063,0.198,0.391,0.34,0.269,0.172,0.552,0.277,0.105,13.9,237,2162,7212,19,-49,-24,7,180,34972,28469,0.814,6659,NA,44,-16.4,-15.1,31.8,13.5,47.5,-6.4,450,856,760,2375,1780,2371,587,1813,898,216,1059,0.983,91439,34653
