Team,W,RAR,LOB_pct,H,Hper9,BBper9,FIP,HRper9,ERA
Astros,103,287.3,0.77900,1164,7.2,2.69,3.23,0.94,3.11
Dodgers,92,189.7,0.76200,1279,7.8,2.57,3.6,1.09,3.4
Cubs,95,121.7,0.76200,1319,8.04,3.79,4.14,0.96,3.65
Diamondbacks,82,153,0.75700,1313,8.08,3.21,3.91,1.07,3.73
Brewers,96,155.5,0.74400,1259,7.76,3.41,4.01,1.07,3.73
Rays,90,156.3,0.73300,1236,7.68,3.11,3.82,1.02,3.75
Braves,90,140.7,0.74100,1236,7.64,3.92,3.99,0.95,3.75
Red Sox,108,192.6,0.75800,1305,8.05,3.16,3.82,1.09,3.75
Indians,91,210.4,0.76000,1349,8.33,2.51,3.79,1.24,3.77
Yankees,100,252.3,0.73900,1311,8.1,3.05,3.63,1.09,3.78
Athletics,97,129.5,0.73500,1303,8,2.91,4.18,1.13,3.82
Cardinals,88,138.8,0.73000,1354,8.37,3.67,3.97,0.89,3.85
Giants,73,116.7,0.72300,1387,8.54,3.23,3.98,0.96,3.95
Pirates,82,127.9,0.73600,1380,8.66,3.12,4.06,1.09,4
Nationals,82,131.2,0.74800,1320,8.22,3.03,4.15,1.23,4.04
Mets,77,144.9,0.73000,1364,8.4,2.98,3.97,1.14,4.07
Mariners,89,159.7,0.72500,1396,8.67,2.49,4.05,1.21,4.13
Phillies,80,182.3,0.71000,1366,8.5,3.11,3.83,1.06,4.15
Angels,80,103.2,0.74100,1353,8.47,3.42,4.36,1.28,4.15
Rockies,91,178,0.71300,1377,8.53,3.25,4.06,1.14,4.33
Padres,66,119.4,0.71100,1430,8.83,3.21,4.1,1.14,4.41
Twins,78,119.2,0.72400,1425,8.89,3.57,4.39,1.23,4.5
Tigers,64,85,0.70500,1423,8.99,3.1,4.59,1.36,4.6
Reds,67,57.8,0.71500,1491,9.31,3.32,4.68,1.42,4.65
Marlins,63,31.3,0.69900,1388,8.66,3.78,4.57,1.2,4.76
White Sox,62,69.7,0.69400,1404,8.79,4.09,4.73,1.23,4.85
Blue Jays,73,92.4,0.70000,1476,9.27,3.46,4.53,1.31,4.85
Rangers,67,77.3,0.69600,1516,9.53,3.09,4.79,1.4,4.92
Royals,58,49,0.70600,1542,9.69,3.45,4.66,1.29,4.95
Orioles,47,52.3,0.70000,1552,9.76,3.7,4.98,1.47,5.19
