Team,W,ERA,H,R,ER,HR,BB,SO,KsPer9,BBper9,KperBB,Hper9,HRper9,AVG,WHIP,BABIP,LOB_pct,FIP,RAR,K_pct,BB_pct
Braves,106,3.25,1291,581,520,117,467,1232,7.71,2.92,2.64,8.08,0.73,0.236,1.22,0.285,0.74,3.53,255.7,0.207,0.08
Astros,102,3.5,1435,620,572,147,465,1187,7.26,2.84,2.55,8.78,0.9,0.251,1.29,0.295,0.76,3.86,178.7,0.191,0.08
Padres,98,3.63,1384,635,587,139,501,1217,7.53,3.1,2.43,8.56,0.86,0.247,1.3,0.293,0.75,3.84,202.1,0.198,0.08
Mets,88,3.77,1381,645,611,152,532,1129,6.97,3.28,2.12,8.52,0.94,0.248,1.31,0.287,0.76,4.18,143.8,0.183,0.09
Dodgers,83,3.81,1332,678,612,135,587,1178,7.33,3.65,2.01,8.28,0.84,0.241,1.33,0.284,0.73,4.06,171.8,0.191,0.1
Yankees,114,3.82,1357,656,619,156,466,1080,6.67,2.88,2.32,8.38,0.96,0.244,1.25,0.277,0.74,4.15,212.5,0.177,0.08
Pirates,69,3.91,1433,718,629,147,530,1112,6.91,3.29,2.1,8.9,0.91,0.253,1.35,0.292,0.71,4.08,172.4,0.179,0.09
Giants,89,4.19,1457,739,687,171,562,1089,6.64,3.42,1.94,8.88,1.04,0.253,1.37,0.287,0.73,4.42,120.3,0.171,0.09
Red Sox,92,4.19,1406,729,668,168,504,1025,6.42,3.16,2.03,8.81,1.05,0.252,1.33,0.282,0.71,4.4,156.7,0.167,0.08
Blue Jays,88,4.29,1443,768,698,169,587,1154,7.09,3.61,1.97,8.86,1.04,0.252,1.39,0.29,0.71,4.36,181.2,0.182,0.09
Cardinals,83,4.32,1513,782,706,151,558,972,5.95,3.42,1.74,9.27,0.92,0.262,1.41,0.292,0.7,4.4,123.5,0.152,0.09
Devil Rays,63,4.35,1425,751,698,171,643,1008,6.29,4.01,1.57,8.89,1.07,0.257,1.43,0.287,0.73,4.79,109.8,0.161,0.1
Expos,65,4.39,1448,783,696,156,533,1017,6.41,3.36,1.91,9.13,0.98,0.258,1.39,0.291,0.69,4.38,119.9,0.164,0.09
Reds,77,4.44,1400,760,711,170,573,1098,6.86,3.58,1.92,8.74,1.06,0.251,1.37,0.285,0.71,4.45,124.1,0.177,0.09
Indians,89,4.45,1552,779,722,171,563,1037,6.39,3.47,1.84,9.57,1.05,0.269,1.45,0.303,0.72,4.54,160.6,0.162,0.09
Angels,85,4.49,1481,783,720,164,630,1091,6.8,3.93,1.73,9.23,1.02,0.262,1.46,0.3,0.71,4.51,161.4,0.173,0.1
Cubs,90,4.5,1528,792,738,180,575,1207,7.35,3.5,2.1,9.31,1.1,0.261,1.42,0.302,0.72,4.35,142.2,0.187,0.09
Brewers,74,4.63,1538,812,746,188,550,1063,6.59,3.41,1.93,9.54,1.17,0.269,1.44,0.302,0.71,4.62,84.6,0.168,0.09
Diamondbacks,65,4.64,1463,812,738,188,489,908,5.71,3.07,1.86,9.19,1.18,0.26,1.36,0.282,0.68,4.69,87.4,0.148,0.08
Phillies,75,4.64,1476,808,754,188,544,1176,7.23,3.35,2.16,9.08,1.16,0.257,1.38,0.294,0.7,4.43,108.8,0.186,0.09
Orioles,79,4.74,1505,785,754,169,535,1065,6.7,3.36,1.99,9.46,1.06,0.267,1.43,0.304,0.7,4.4,161,0.171,0.09
Twins,70,4.76,1622,818,765,180,457,952,5.92,2.84,2.08,10.08,1.12,0.279,1.44,0.308,0.7,4.48,147,0.151,0.07
Athletics,74,4.83,1555,866,769,179,529,922,5.79,3.32,1.74,9.76,1.12,0.272,1.45,0.298,0.67,4.7,121.1,0.146,0.08
